ASN,CC,Name,IXP Number (IX-F ID),Switch Name,IPv4 Address,IPv6 Address,MAC Address,Vendor,MANRS,IXP Switch
50673,NL,Serverius B.V.,898,SER-DRO-TR0,185.1.222.1,2001:7f8:b7::a505:673:1,84:5b:12:3b:a4:bf,"HUAWEI TECHNOLOGIES CO.,LTD",0,898+SER-DRO-TR0
205593,,TAKEN.PL IT SERVICES Marek Krolikowski,898,,185.1.222.21,2001:7f8:b7::a520:5593:1,,,0,898
133648,IN,MNR Broadband Services,694,jupiter.bom,103.77.108.105,2001:df2:1900:2::105,,,0,694+jupiter.bom
62915,US,Wtechlink,222,ptk-fabric-nwax-3,198.32.195.67,2620:124:2000::67,04:62:73:99:53:03,"Cisco Systems, Inc",0,222+ptk-fabric-nwax-3
132996,IN,Threesa Infoway Pvt Ltd,694,mars.bom,103.77.108.182,,,,0,694+mars.bom
209181,NL,Zenex 5ive Limited,898,SER-DRO-TR0,185.1.222.121,2001:7f8:b7::a520:9181:1,,,0,898+SER-DRO-TR0
50673,NL,Serverius B.V.,898,SER-DRO-TR0,185.1.222.202,2001:7f8:b7::a505:673:4,84:5b:12:37:39:e5,"HUAWEI TECHNOLOGIES CO.,LTD",0,898+SER-DRO-TR0
133007,IN,UCN CABLE NETWORK,694,lacerta.bom,103.77.108.158,,,,0,694+lacerta.bom
133652,IN,Zapbytes Technologies Pvt Ltd,683,dorado.del,45.120.248.21,2001:df2:1900:1::21,20:ab:48:f4:1d:42,"HUAWEI TECHNOLOGIES CO.,LTD",0,683+dorado.del
46489,IN,Twitch,683,carina.del,45.120.248.146,2001:df2:1900:1::146,,,0,683+carina.del
206389,NL,Libernet,898,SER-NIK-TR1,185.1.222.140,,,,0,898+SER-NIK-TR1
209288,NL,Solutions4XS,898,SER-NIK-TR1,185.1.222.155,2001:7f8:b7::a520:9288:1,,,0,898+SER-NIK-TR1
63293,US,Facebook Inc AS63293,222,ecx-fabric-nwax-2,198.32.195.128,2620:124:2000::128,,,0,222+ecx-fabric-nwax-2
133255,IN,Elxer Communications Pvt. ltd,694,jupiter.bom,103.77.108.189,2001:df2:1900:2::189,,,0,694+jupiter.bom
209622,NL,uPress network,898,SER-DRO-TR1,185.1.222.122,,,,0,898+SER-DRO-TR1
46489,IN,Twitch,683,carina.del,45.120.248.147,2001:df2:1900:1::147,,,0,683+carina.del
206898,NL,BladeServersEU,898,SER-MEP-TR1,185.1.222.94,2001:7f8:b7::a520:6898:1,74:8e:f8:a4:e7:c1,Brocade Communications Systems LLC,0,898+SER-MEP-TR1
133674,IN,Adarsh Infosolutions,694,uranus.bom,103.77.108.196,,,,0,694+uranus.bom
49121,IN,Infinity Telecom s.r.o.,694,venus.bom,103.77.108.99,2001:df2:1900:2::99,,,0,694+venus.bom
133275,IN,Gigantic Infotel Pvt. Ltd (Wi-Bro Solutions),683,cygnus.del,45.120.248.22,2001:df2:1900:1::22,f4:b7:8d:dd:00:f3,"HUAWEI TECHNOLOGIES CO.,LTD",0,683+cygnus.del
133676,IN,NEXTIA BROADBAND PRIVATE LIMITED,683,draco.del,45.120.248.55,2001:df2:1900:1::55,,,0,683+draco.del
208956,US,Operation Enterprise LLC,222,st2-fabric-nwax-1,198.32.195.138,2620:124:2000::138,,,0,222+st2-fabric-nwax-1
207176,NL,OPENFIBER B.V.,898,SER-NIK-TR1,185.1.222.117,2001:7f8:b7::a520:7176:1,,,0,898+SER-NIK-TR1
209650,,Wu Zhiyuan,898,,185.1.222.157,2001:7f8:b7::a520:9650:1,,,0,898
49378,IN,BG-EXTREME Route Servers,771,libra.ccu,45.120.249.200,2001:df2:1900:5::200,,,0,771+libra.ccu
