IXP Number (IX-F ID),Name,Metro,Switch Name,Switch Model,Software Version,Peering DB Facility ID,Coordinates,IPv4,IPv6,MANRS,ASN Sum,IXP Switch
558,DE-CIX PMO (DE-CIX Palermo),,edge01.dfw11.dfw,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.dfw11.dfw
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-cwt2-1,X670G2-48x-4q,,5708,,194.88.241.64/26,2001:7f8:18:72::/64,0,6,645+swi2-cwt2-1
558,DE-CIX PMO (DE-CIX Palermo),,edge01.cid1.cid,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.cid1.cid
558,DE-CIX PMO (DE-CIX Palermo),,edge01.ist5.ist,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.ist5.ist
558,DE-CIX PMO (DE-CIX Palermo),,edge01.cmh1.cmh,,,,,185.1.46.0/24,2001:7f8:32::/64,1,0,558+edge01.cmh1.cmh
646,INEX Cork (Internet Neutral Exchange Association Limited by Guarantee),Cork,swic-cix-edge1,Edgecore 5812-54X-O-AC-F,,620,,185.1.69.0/24,2001:7f8:18:210::/64,0,11,646+swic-cix-edge1
559,DE-CIX MRS (DE-CIX Marseille),,edge01.dx6.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,4,559+edge01.dx6.fra
646,INEX Cork (Internet Neutral Exchange Association Limited by Guarantee),Cork,hv01.cork.inex.ie,,,620,,185.1.69.0/24,2001:7f8:18:210::/64,0,1,646+hv01.cork.inex.ie
559,DE-CIX MRS (DE-CIX Marseille),,backhaul01.dx2.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+backhaul01.dx2.fra
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l1.ct1.napafrica.net,DCS-7280SR-48C6,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,17,648+ar-l1.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,backhaul01.dx8.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+backhaul01.dx8.fra
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l3.ct1.napafrica.net,DCS-7280SR-48C6,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,31,648+ar-l3.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,edge01.pmo1.pmo,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.pmo1.pmo
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l4.ct1.napafrica.net,DCS-7280SR-48C6,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,30,648+ar-l4.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,core01.dx2.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+core01.dx2.fra
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l5.ct1.napafrica.net,DCS-7280QR-C36,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,56,648+ar-l5.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,core01.fra12.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+core01.fra12.fra
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l6.ct1.napafrica.net,DCS-7280QR-C36,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,38,648+ar-l6.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,backhaul01.nyc12.nyc,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+backhaul01.nyc12.nyc
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l9.ct1.napafrica.net,DCS-7280QR-C36,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,29,648+ar-l9.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,backhaul01.nyc1.nyc,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+backhaul01.nyc1.nyc
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l12.ct1.napafrica.net,DCS-7280SR-48C6,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,0,648+ar-l12.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,backhaul01.mad2.mad,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+backhaul01.mad2.mad
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l14.ct1.napafrica.net,DCS-7280SR-48C6,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,6,648+ar-l14.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,edge01.dxb1.dxb,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.dxb1.dxb
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l1.ct2.napafrica.net,DCS-7280QR-C36,,1225,"-33.970872,18.465223",196.46.25.0/25,,1,2,648+ar-l1.ct2.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,edge01.dx12.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,5,559+edge01.dx12.fra
648,NAPAfrica IX Cape Town (NAPAfrica),Cape Town,ar-l3.ct1.napafrica.net,DCS-7280SR-48C6,,1225,"-33.970872,18.465223",196.60.70.0/23,2001:43f8:6d1::/64,1,31,648+ar-l3.ct1.napafrica.net
559,DE-CIX MRS (DE-CIX Marseille),,edge02.mad3.mad,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge02.mad3.mad
559,DE-CIX MRS (DE-CIX Marseille),,backhaul02.nyc12.nyc,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+backhaul02.nyc12.nyc
559,DE-CIX MRS (DE-CIX Marseille),,edge02.muc1.muc,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge02.muc1.muc
559,DE-CIX MRS (DE-CIX Marseille),,core01.nyc2.nyc,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+core01.nyc2.nyc
559,DE-CIX MRS (DE-CIX Marseille),,edge01.ath1.ath,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.ath1.ath
559,DE-CIX MRS (DE-CIX Marseille),,edge02.fra9.fra,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge02.fra9.fra
559,DE-CIX MRS (DE-CIX Marseille),,edge01.kul1.kul,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.kul1.kul
559,DE-CIX MRS (DE-CIX Marseille),,edge01.kul2.kul,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.kul2.kul
559,DE-CIX MRS (DE-CIX Marseille),,edge01.jhb2.jhb,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.jhb2.jhb
559,DE-CIX MRS (DE-CIX Marseille),,edge02.sin1.sin,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge02.sin1.sin
559,DE-CIX MRS (DE-CIX Marseille),,edge01.ric3.ric,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.ric3.ric
559,DE-CIX MRS (DE-CIX Marseille),,edge03.ham1.ham,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge03.ham1.ham
559,DE-CIX MRS (DE-CIX Marseille),,edge02.nyc1.nyc,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge02.nyc1.nyc
559,DE-CIX MRS (DE-CIX Marseille),,edge02.ord2.ord,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge02.ord2.ord
559,DE-CIX MRS (DE-CIX Marseille),,edge01.cmh1.cmh,,,,,185.1.47.0/24,2001:7f8:36::/64,1,0,559+edge01.cmh1.cmh
560,DE-CIX IST (DE-CIX Istanbul),,edge01.dx6.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,3,560+edge01.dx6.fra
560,DE-CIX IST (DE-CIX Istanbul),,backhaul01.dx2.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+backhaul01.dx2.fra
560,DE-CIX IST (DE-CIX Istanbul),,backhaul02.dx2.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+backhaul02.dx2.fra
560,DE-CIX IST (DE-CIX Istanbul),,backhaul01.dx5.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+backhaul01.dx5.fra
560,DE-CIX IST (DE-CIX Istanbul),,sw001.dxb,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+sw001.dxb
560,DE-CIX IST (DE-CIX Istanbul),,edge01.pmo1.pmo,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.pmo1.pmo
560,DE-CIX IST (DE-CIX Istanbul),,core01.dx6.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+core01.dx6.fra
560,DE-CIX IST (DE-CIX Istanbul),,core01.fra12.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+core01.fra12.fra
560,DE-CIX IST (DE-CIX Istanbul),,backhaul01.nyc13.nyc,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+backhaul01.nyc13.nyc
560,DE-CIX IST (DE-CIX Istanbul),,edge01.dfw1.dfw,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.dfw1.dfw
560,DE-CIX IST (DE-CIX Istanbul),,edge02.ham1.ham,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.ham1.ham
560,DE-CIX IST (DE-CIX Istanbul),,edge02.dx12.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.dx12.fra
560,DE-CIX IST (DE-CIX Istanbul),,edge02.nyc6.nyc,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.nyc6.nyc
560,DE-CIX IST (DE-CIX Istanbul),,edge02.fra2.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,1,560+edge02.fra2.fra
560,DE-CIX IST (DE-CIX Istanbul),,edge02.mad3.mad,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.mad3.mad
560,DE-CIX IST (DE-CIX Istanbul),,backhaul02.nyc12.nyc,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+backhaul02.nyc12.nyc
560,DE-CIX IST (DE-CIX Istanbul),,edge02.muc2.muc,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.muc2.muc
560,DE-CIX IST (DE-CIX Istanbul),,edge02.dfw8.dfw,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.dfw8.dfw
560,DE-CIX IST (DE-CIX Istanbul),,edge01.fra10.fra,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.fra10.fra
560,DE-CIX IST (DE-CIX Istanbul),,edge01.jhb1.jhb,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.jhb1.jhb
560,DE-CIX IST (DE-CIX Istanbul),,edge01.sin1.sin,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.sin1.sin
560,DE-CIX IST (DE-CIX Istanbul),,edge01.ric2.ric,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.ric2.ric
560,DE-CIX IST (DE-CIX Istanbul),,edge03.nyc3.nyc,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge03.nyc3.nyc
560,DE-CIX IST (DE-CIX Istanbul),,edge01.phx2.phx,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.phx2.phx
560,DE-CIX IST (DE-CIX Istanbul),,edge02.ist1.ist,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,26,560+edge02.ist1.ist
560,DE-CIX IST (DE-CIX Istanbul),,edge01.dfw11.dfw,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge01.dfw11.dfw
560,DE-CIX IST (DE-CIX Istanbul),,edge02.lis1.lis,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,0,560+edge02.lis1.lis
560,DE-CIX IST (DE-CIX Istanbul),,edge01.ist5.ist,,,,,185.1.48.0/24,2001:7f8:3f::/64,1,1,560+edge01.ist5.ist
565,DE-CIX DUS (DE-CIX Dusseldorf),,backhaul01.dx2.fra,,,,,185.1.170.0/23,2001:7f8:9e::/64,1,0,565+backhaul01.dx2.fra
